Index,Timestamp,RefP,X,Y,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagnetoX,MagnetoY,MagnetoZ,etn-scm-iot_b8:27:eb:29:0f:19,eduroam_c8:b5:ad:f3:6b:70,eduroam_c8:b5:ad:f3:6b:60,eduroam_c8:b5:ad:f3:69:c0,eduroam_c8:b5:ad:f3:69:d0,eduroam_84:d4:7e:5f:70:70,ClickShare-1862482789_9c:2f:9d:5f:1e:ad,eduroam_f0:5c:19:c3:5d:a0,eduroam_84:d4:7e:5f:70:60,eduroam_c8:b5:ad:f3:73:20,_be:53:22:90:2f:a7,eduroam_cc:88:c7:03:a4:a0,_7e:cb:24:39:04:02,TP-Link_2FA8_9c:53:22:90:2f:a7,eduroam_cc:d0:83:a0:c3:b0,eduroam_cc:88:c7:03:a4:b0,Tenda_62F1A0_d8:32:14:62:f1:a1,xc_82:88:2e:8f:63:24,eduroam_24:f2:7f:9a:e9:d0,DIRECT-BK_02:e0:db:d8:39:a9,eduroam_cc:d0:83:a0:e0:a0,eduroam_cc:d0:83:a0:e0:b0,vX,vY,Orientation
12,04:50:48:75,NaN,0.0,0.23076923076923075,-0.5025484427069222,0.8954198362314388,0.09163125856706311,-0.10174775299149426,-0.04286534712484394,0.010771386381795813,-7.8,-28.331251,-35.025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
13,04:50:48:86,NaN,0.0,0.2769230769230769,-0.5245200738752273,0.8601514878346149,0.12917768058981327,-0.0990615587436381,-0.045735828014859606,0.015589561290153348,-6.8250003,-26.8875,-33.693752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
14,04:50:48:98,NaN,0.0,0.32307692307692304,-0.550437865855542,0.82153219305624,0.16354066677369608,-0.09698989465948854,-0.0483402424446998,0.021569811674821845,-7.9125004,-28.218752,-33.54375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
15,04:50:49:11,NaN,0.0,0.3692307692307692,-0.5797597806996264,0.78344292038868,0.19376353351760467,-0.09667135326363181,-0.051251579628829015,0.028826189945897574,-4.8187504,-28.462502,-34.36875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
16,04:50:49:25,NaN,0.0,0.41538461538461535,-0.611441800895257,0.748945916721535,0.21987311582233635,-0.09855142280173837,-0.0546391703614099,0.037299176470207245,-6.3375,-29.081251,-33.375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
17,04:50:49:38,NaN,0.0,0.4615384615384615,-0.6436533494696185,0.7186208089039883,0.24201006271952377,-0.1023061967618757,-0.058244038014506026,0.046605073010686865,-3.61875,-30.075,-32.568752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
18,04:50:49:50,NaN,0.0,0.5076923076923077,-0.6738995410642672,0.6914075324122955,0.25898953076387415,-0.10709310240421975,-0.06142955140963711,0.055966802017624946,-4.275,-30.843752,-30.2625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
19,04:50:49:62,NaN,0.0,0.5538461538461538,-0.6992622002033774,0.6671907887273466,0.2671809849919319,-0.11159502495619134,-0.06320163166461798,0.06429360896916807,-2.1750002,-30.806252,-31.743752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
20,04:50:49:71,1.0,0.0,0.6,-0.7169062559207746,0.6481794423463235,0.2613834165145154,-0.11383815049508315,-0.062397044736422554,0.07039493981107345,-2.71875,-30.975,-30.750002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
21,04:50:49:73,NaN,0.0,0.7071428571428571,-0.7251225328610171,0.6377208115594996,0.238323139684515,-0.11177180481043697,-0.05822013841082194,0.07330621550727884,-3.91875,-28.35,-31.3875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
